edge_id,from,to,distance_m,bidirectional,path_points,hostel_only,is_location_connector
e_0,n_17,n_106,15.23,True,2,False,False
e_1,n_17,n_105,32.59,True,2,False,False
e_2,n_17,n_109,50.37,True,2,False,False
e_3,n_106,n_0,6.67,True,2,False,False
e_4,n_106,n_105,28.22,True,2,False,False
e_5,n_0,n_107,26.53,True,2,False,False
e_6,n_0,n_108,16.68,True,2,False,False
e_7,n_107,n_1,16.93,True,2,False,False
e_8,n_108,n_107,12.45,True,2,False,False
e_9,n_107,n_125,23.18,True,2,False,False
e_10,n_125,n_126,13.67,True,2,False,False
e_11,n_126,n_127,74.23,True,2,False,False
e_12,n_127,n_8,19.73,True,2,False,False
e_13,n_1,n_38,8.0,True,2,False,False
e_14,n_108,n_1,25.95,True,2,False,False
e_15,n_38,n_100,24.54,True,2,False,False
e_16,n_38,n_75,35.83,True,3,False,False
e_17,n_75,n_25,11.42,True,2,False,False
e_18,n_99,n_128,61.83,True,2,False,False
e_19,n_128,n_75,62.18,True,2,False,False
e_20,n_99,n_98,30.51,True,2,False,False
e_21,n_2,n_99,73.06,True,2,False,False
e_22,n_74,n_2,21.53,True,2,False,False
e_23,n_2,n_3,63.48,True,3,False,False
e_24,n_121,n_3,18.32,True,2,False,False
e_25,n_3,n_42,33.24,True,2,False,False
e_26,n_120,n_121,41.25,True,2,False,False
e_27,n_121,n_41,33.33,True,2,False,False
e_28,n_121,n_129,36.75,True,2,False,False
e_29,n_129,n_130,51.41,True,2,False,False
e_30,n_130,n_67,51.51,True,2,False,False
e_31,n_66,n_67,49.97,True,2,False,False
e_32,n_67,n_69,74.12,True,2,False,False
e_33,n_66,n_5,41.3,True,2,False,False
e_34,n_6,n_66,16.18,True,2,False,False
e_35,n_4,n_5,22.32,True,2,False,False
e_36,n_5,n_6,46.15,True,3,False,False
e_37,n_65,n_131,21.45,True,2,False,False
e_38,n_131,n_132,45.35,True,2,False,False
e_39,n_132,n_133,98.28,True,2,False,False
e_40,n_133,n_6,98.39,True,2,False,False
e_41,n_64,n_134,66.65,True,2,False,False
e_42,n_134,n_65,66.65,True,2,False,False
e_43,n_65,n_7,34.65,True,3,False,False
e_44,n_69,n_54,10.85,True,2,True,False
e_45,n_54,n_55,12.1,True,2,True,False
e_46,n_56,n_135,74.01,True,2,True,False
e_47,n_135,n_55,52.36,True,2,True,False
e_48,n_62,n_56,36.81,True,3,True,False
e_49,n_33,n_56,43.92,True,3,False,False
e_50,n_44,n_33,6.13,True,2,False,False
e_51,n_124,n_44,7.45,True,2,False,False
e_52,n_43,n_44,42.65,True,3,False,False
e_53,n_43,n_124,33.94,True,2,False,False
e_54,n_8,n_136,9.39,True,2,False,False
e_55,n_136,n_137,27.88,True,2,False,False
e_56,n_137,n_124,92.51,True,2,False,False
e_57,n_122,n_138,66.16,True,2,False,False
e_58,n_138,n_123,66.16,True,2,False,False
e_59,n_47,n_122,52.83,True,2,False,False
e_60,n_105,n_108,36.15,True,3,False,False
e_61,n_105,n_104,23.31,True,2,False,False
e_62,n_104,n_16,18.78,True,2,False,False
e_63,n_16,n_9,65.6,True,2,False,False
e_64,n_37,n_16,9.57,True,2,False,False
e_65,n_16,n_85,7.45,True,2,False,False
e_66,n_9,n_103,6.4,True,2,False,False
e_67,n_85,n_9,65.19,True,2,False,False
e_68,n_103,n_10,7.34,True,2,False,False
e_69,n_103,n_11,8.35,True,2,False,False
e_70,n_10,n_11,11.19,True,2,False,False
e_71,n_11,n_86,22.02,True,2,False,False
e_72,n_86,n_87,95.63,True,2,False,False
e_73,n_12,n_139,56.72,True,2,False,False
e_74,n_139,n_86,56.61,True,2,False,False
e_75,n_12,n_80,15.86,True,2,False,False
e_76,n_12,n_19,47.95,True,3,False,False
e_77,n_80,n_19,37.48,True,2,False,False
e_78,n_88,n_19,54.87,True,2,False,False
e_79,n_19,n_141,54.71,True,2,False,False
e_80,n_141,n_140,54.71,True,2,False,False
e_81,n_140,n_142,53.88,True,2,False,False
e_82,n_142,n_90,53.88,True,2,False,False
e_83,n_88,n_14,29.72,True,2,False,False
e_84,n_88,n_13,15.3,True,2,False,False
e_85,n_13,n_18,13.6,True,2,False,False
e_86,n_13,n_83,55.08,True,2,False,False
e_87,n_18,n_14,13.25,True,2,False,False
e_88,n_83,n_18,51.2,True,3,False,False
e_89,n_84,n_143,50.97,True,2,False,False
e_90,n_143,n_87,50.97,True,2,False,False
e_91,n_15,n_84,6.46,True,2,False,False
e_92,n_35,n_84,31.48,True,2,False,False
e_93,n_15,n_36,40.06,True,2,False,False
e_94,n_36,n_81,12.69,True,2,False,False
e_95,n_36,n_37,37.62,True,2,False,False
e_96,n_46,n_109,42.62,True,2,False,False
e_97,n_109,n_36,49.14,True,2,False,False
e_98,n_35,n_82,9.67,True,2,False,False
e_99,n_34,n_35,16.74,True,2,False,False
e_100,n_82,n_34,13.24,True,2,False,False
e_101,n_83,n_145,69.85,True,2,False,False
e_102,n_145,n_144,69.85,True,2,False,False
e_103,n_144,n_82,48.04,True,2,False,False
e_104,n_80,n_93,27.25,True,3,False,False
e_105,n_92,n_146,73.86,True,2,False,False
e_106,n_146,n_147,73.75,True,2,False,False
e_107,n_147,n_93,73.86,True,2,False,False
e_108,n_20,n_93,36.4,True,3,False,False
e_109,n_95,n_148,29.92,True,2,False,False
e_110,n_148,n_149,33.52,True,2,False,False
e_111,n_149,n_93,98.08,True,2,False,False
e_112,n_95,n_21,11.9,True,2,False,False
e_113,n_23,n_95,9.75,True,2,False,False
e_114,n_21,n_22,15.66,True,2,False,False
e_115,n_21,n_23,11.35,True,2,False,False
e_116,n_151,n_150,54.15,True,2,False,False
e_117,n_150,n_94,32.68,True,2,False,False
e_118,n_96,n_23,76.69,True,3,False,False
e_119,n_96,n_27,23.21,True,2,False,False
e_120,n_24,n_96,46.63,True,4,False,False
e_121,n_96,n_76,68.01,True,4,False,False
e_122,n_27,n_76,57.45,True,2,False,False
e_123,n_27,n_101,38.25,True,3,False,False
e_124,n_100,n_76,64.43,True,3,False,False
e_125,n_25,n_100,8.65,True,2,False,False
e_126,n_39,n_100,80.74,True,2,False,False
e_127,n_25,n_111,26.6,True,2,False,False
e_128,n_111,n_31,56.7,True,4,False,False
e_129,n_110,n_40,20.48,True,2,False,False
e_130,n_110,n_32,37.58,True,2,False,False
e_131,n_26,n_40,54.43,True,2,False,False
e_132,n_26,n_101,25.67,True,2,False,False
e_133,n_39,n_26,54.61,True,3,False,False
e_134,n_101,n_39,21.25,True,2,False,False
e_135,n_28,n_29,6.84,True,2,False,False
e_136,n_28,n_119,7.81,True,2,False,False
e_137,n_29,n_119,8.79,True,2,False,False
e_138,n_29,n_32,25.72,True,2,False,False
e_139,n_118,n_32,21.31,True,2,False,False
e_140,n_118,n_30,16.48,True,2,False,False
e_141,n_117,n_118,13.34,True,2,False,False
e_142,n_30,n_31,15.56,True,2,False,False
e_143,n_116,n_30,30.57,True,2,False,False
e_144,n_30,n_117,7.8,True,2,False,False
e_145,n_31,n_117,11.38,True,2,False,False
e_146,n_112,n_119,86.68,True,4,False,False
e_147,n_115,n_112,10.91,True,2,False,False
e_148,n_112,n_113,61.23,True,2,False,False
e_149,n_113,n_120,38.85,True,2,False,False
e_150,n_113,n_114,42.73,True,2,False,False
e_151,n_120,n_41,19.49,True,2,False,False
e_152,n_41,n_42,23.78,True,2,False,False
e_153,n_41,n_114,68.9,True,2,False,False
e_154,n_42,n_43,23.91,True,2,False,False
e_155,n_79,n_152,17.98,True,2,False,False
e_156,n_152,n_153,62.27,True,2,False,False
e_157,n_153,n_123,62.16,True,2,False,False
e_158,n_78,n_79,95.7,True,4,False,False
e_159,n_50,n_154,11.49,True,2,False,False
e_160,n_154,n_155,69.3,True,2,False,False
e_161,n_157,n_158,17.91,True,2,False,False
e_162,n_158,n_159,12.19,True,2,False,False
e_163,n_159,n_79,31.64,True,2,False,False
e_164,n_34,n_50,65.5,True,2,False,False
e_165,n_50,n_49,50.19,True,4,False,False
e_166,n_49,n_161,13.31,True,2,False,False
e_167,n_161,n_162,29.37,True,2,False,False
e_168,n_162,n_163,21.25,True,2,False,False
e_169,n_163,n_164,22.5,True,2,False,False
e_170,n_164,n_47,26.01,True,2,False,False
e_171,n_46,n_45,10.58,True,2,False,False
e_172,n_49,n_48,10.33,True,2,False,False
e_173,n_71,n_165,54.49,True,2,True,False
e_174,n_165,n_166,73.76,True,2,True,False
e_175,n_166,n_78,7.23,True,2,True,False
e_176,n_78,n_77,95.77,True,3,False,False
e_177,n_71,n_53,34.26,True,2,True,False
e_178,n_59,n_167,71.17,True,2,True,False
e_179,n_167,n_71,57.49,True,2,True,False
e_180,n_51,n_59,54.23,True,2,True,False
e_181,n_60,n_59,28.21,True,2,True,False
e_182,n_51,n_52,10.36,True,2,True,False
e_183,n_72,n_51,6.51,True,2,True,False
e_184,n_53,n_52,29.82,True,2,True,False
e_185,n_52,n_72,8.23,True,2,True,False
e_186,n_53,n_70,41.85,True,3,True,False
e_187,n_70,n_72,6.51,True,2,True,False
e_188,n_70,n_73,14.1,True,2,True,False
e_189,n_54,n_70,82.96,True,2,True,False
e_190,n_62,n_57,21.15,True,2,True,False
e_191,n_61,n_62,20.91,True,2,True,False
e_192,n_62,n_63,15.52,True,2,False,False
e_193,n_57,n_58,20.57,True,3,False,False
e_194,n_57,n_61,12.61,True,3,True,False
e_195,n_61,n_60,57.61,True,5,True,False
e_196,n_60,n_68,11.93,True,2,True,False
e_197,n_90,n_92,53.37,True,2,False,False
e_198,n_89,n_168,10.15,True,2,False,False
e_199,n_168,n_169,20.74,True,2,False,False
e_200,n_169,n_170,13.75,True,2,False,False
e_201,n_173,n_171,88.94,True,2,False,False
e_202,n_171,n_172,21.8,True,2,False,False
e_203,n_172,n_90,23.73,True,2,False,False
e_204,n_92,n_91,48.49,True,3,False,False
e_205,n_114,n_115,47.17,True,2,False,False
e_206,n_114,n_116,76.66,True,3,False,False
e_207,n_116,n_115,60.06,True,3,False,False
e_208,n_104,n_174,6.51,True,2,False,False
e_209,n_174,n_85,10.85,True,2,False,False
e_210,n_47,n_175,29.17,True,2,False,False
e_211,n_175,n_46,9.87,True,2,False,False
e_212,n_155,n_176,25.29,True,2,False,False
e_213,n_176,n_160,44.18,True,2,False,False
e_214,n_177,n_8,32.67,True,3,False,False
e_215,n_178,n_177,6.66,True,2,False,False
e_216,n_102,n_179,65.95,True,3,False,False
e_217,n_179,n_10,30.25,True,2,False,False
e_218,n_156,n_180,23.76,True,2,False,False
e_219,n_180,n_157,14.21,True,2,False,False
e_220,n_87,n_181,56.72,True,2,False,False
e_221,n_181,n_14,36.12,True,2,False,False
e_222,n_81,n_182,24.36,True,2,False,False
e_223,n_182,n_37,10.9,True,2,False,False
e_224,n_15,n_183,34.81,True,2,False,False
e_225,n_183,n_81,3.22,True,2,False,False
e_226,n_160,n_184,27.24,True,2,False,False
e_227,n_184,n_156,42.22,True,2,False,False
e_228,n_40,n_185,37.31,True,2,False,False
e_229,n_185,n_28,17.24,True,2,False,False
e_230,n_21,n_186,15.01,True,2,False,False
e_231,n_186,n_151,39.03,True,2,False,False
e_232,n_69,n_187,3.28,True,2,True,False
e_233,n_187,n_55,5.25,True,2,True,False
e_234,n_97,n_188,33.15,True,2,False,False
e_235,n_188,n_101,11.92,True,3,False,False
e_236,n_111,n_189,22.36,True,2,False,False
e_237,n_189,n_110,54.65,True,3,False,False
e_238,n_17,n_190,30.58,True,4,False,False
e_239,n_190,n_108,35.85,True,3,False,False
e_240,n_123,n_191,26.8,True,2,False,False
e_241,n_191,n_33,47.11,True,3,False,False
e_242,n_170,n_192,64.21,True,2,False,False
e_243,n_192,n_173,24.73,True,2,False,False
loc_0,main-gate,n_64,5.21,True,2,False,True
loc_1,parking,n_64,5.21,True,2,False,True
loc_2,admin-block,n_174,6.56,True,2,False,True
loc_3,central-library,n_175,6.78,True,2,False,True
loc_4,eee-block,n_176,21.7,True,2,False,True
loc_5,cse-block,n_178,23.21,True,2,False,True
loc_6,ece-block,n_46,25.41,True,2,False,True
loc_7,it-block,n_177,27.18,True,2,False,True
loc_8,mech-block,n_179,30.91,True,2,False,True
loc_9,civil-block,n_176,21.7,True,2,False,True
loc_10,biomed-block,n_180,24.03,True,2,False,True
loc_11,tcs-auditorium,n_4,39.09,True,2,False,True
loc_12,mini-hall-1,n_181,12.9,True,2,False,True
loc_13,food-rishabhs,n_182,7.48,True,2,False,True
loc_14,food-snowcube,n_37,10.38,True,2,False,True
loc_15,food-metro,n_183,5.64,True,2,False,True
loc_16,food-pr,n_184,18.03,True,2,False,True
loc_17,food-aswins,n_185,20.24,True,2,False,True
loc_18,sports-complex,n_186,15.73,True,2,False,True
loc_19,boys-hostel-gate,n_187,1.57,True,2,False,True
loc_20,boys-hostel-office,n_167,3.24,True,2,False,True
loc_21,girls-hostel,n_188,11.37,True,2,False,True
loc_22,medical-center,n_158,55.95,True,2,False,True
loc_23,clock-tower,n_189,22.67,True,2,False,True
loc_24,cdc-block,n_190,20.43,True,2,False,True
loc_25,ssn-fountain,n_106,0.25,True,2,False,True
loc_26,snu-academic,n_20,55.98,True,2,False,True
loc_27,open-air-theatre,n_191,24.4,True,2,False,True
loc_28,sports-complex-main,n_151,6.72,True,2,False,True
loc_29,ssn-cricket-ground,n_192,2.45,True,2,False,True
loc_30,ssn-football-ground,n_92,2.9,True,2,False,True
loc_31,main-canteen,n_24,11.03,True,2,False,True
